Book ID,Title,Author,Publication Date
1,1984,George Orwell,1949
2,A Brief History of Time,Stephen Hawking,1988
3,A Farewell to Arms,Ernest Hemingway,1929
4,A Game of Thrones,George R.R. Martin,1996
5,A Passage to India,E.M. Forster,1924
6,A Tale of Two Cities,Charles Dickens,1859
7,Alice's Adventures in Wonderland,Lewis Carroll,1865
8,Animal Farm,George Orwell,1945
9,Anna Karenina,Leo Tolstoy,1877
10,Beloved,Toni Morrison,1987
11,Brave New World,Aldous Huxley,1932
12,Catch-22,Joseph Heller,1961
13,Crime and Punishment,Fyodor Dostoevsky,1866
14,David Copperfield,Charles Dickens,1850
15,Don Quixote,Miguel de Cervantes,1605
16,Dracula,Bram Stoker,1897
17,Emma,Jane Austen,1815
18,Fahrenheit 451,Ray Bradbury,1953
19,Frankenstein,Mary Shelley,1818
20,Gone with the Wind,Margaret Mitchell,1936
21,Great Expectations,Charles Dickens,1861
22,Gulliver's Travels,Jonathan Swift,1726
23,Hamlet,William Shakespeare,1603
24,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997
25,Heart of Darkness,Joseph Conrad,1899
26,Jane Eyre,Charlotte Bront�,1847
27,Les Mis�rables,Victor Hugo,1862
28,Little Women,Louisa May Alcott,1868
29,Lolita,Vladimir Nabokov,1955
30,Lord of the Flies,William Golding,1954
31,Moby-Dick,Herman Melville,1851
32,Nineteen Eighty-Four,George Orwell,1949
33,Of Mice and Men,John Steinbeck,1937
34,Oliver Twist,Charles Dickens,1838
35,One Hundred Years of Solitude,Gabriel Garc�a M�rquez,1967
36,Pride and Prejudice,Jane Austen,1813
37,Rebecca,Daphne du Maurier,1938
38,Robinson Crusoe,Daniel Defoe,1719
39,Sense and Sensibility,Jane Austen,1811
40,Siddhartha,Hermann Hesse,1922
41,Slaughterhouse-Five,Kurt Vonnegut,1969
42,The Adventures of Huckleberry Finn,Mark Twain,1884
43,The Alchemist,Paulo Coelho,1988
44,The Catcher in the Rye,J.D. Salinger,1951
45,The Chronicles of Narnia,C.S. Lewis,1950
46,The Color Purple,Alice Walker,1982
47,The Count of Monte Cristo,Alexandre Dumas,1844
48,The Da Vinci Code,Dan Brown,2003
49,The Divine Comedy,Dante Alighieri,1320
50,The Fault in Our Stars,John Green,2012
51,The Fellowship of the Ring,J.R.R. Tolkien,1954
52,The Girl with the Dragon Tattoo,Stieg Larsson,2005
53,The Giving Tree,Shel Silverstein,1964
54,The Godfather,Mario Puzo,1969
55,The Golden Compass,Philip Pullman,1995
56,The Grapes of Wrath,John Steinbeck,1939
57,The Great Gatsby,F. Scott Fitzgerald,1925
58,The Hobbit,J.R.R. Tolkien,1937
59,The Hunger Games,Suzanne Collins,2008
60,The Iliad,Homer,8th century BC
61,The Interpretation of Dreams,Sigmund Freud,1899
62,The Jungle Book,Rudyard Kipling,1894
63,The Kite Runner,Khaled Hosseini,2003
64,The Little Prince,Antoine de Saint-Exup�ry,1943
65,The Lord of the Rings,J.R.R. Tolkien,1954
66,The Lovely Bones,Alice Sebold,2002
67,The Metamorphosis,Franz Kafka,1915
68,The Odyssey,Homer,8th century BC
69,The Old Man and the Sea,Ernest Hemingway,1952
70,The Picture of Dorian Gray,Oscar Wilde,1890
71,The Pilgrim's Progress,John Bunyan,1678
72,The Prince,Niccol� Machiavelli,1532
73,The Scarlet Letter,Nathaniel Hawthorne,1850
74,The Secret Garden,Frances Hodgson Burnett,1911
75,The Shining,Stephen King,1977
76,The Silmarillion,J.R.R. Tolkien,1977
77,The Stranger,Albert Camus,1942
78,The Sun Also Rises,Ernest Hemingway,1926
79,The Three Musketeers,Alexandre Dumas,1844
80,The Time Machine,H.G. Wells,1895
81,The Trial,Franz Kafka,1925
82,The Twelfth Night,William Shakespeare,1602
83,The War of the Worlds,H.G. Wells,1898
84,The Wind in the Willows,Kenneth Grahame,1908
85,The Wonderful Wizard of Oz,L. Frank Baum,1900
86,The Yellow Wallpaper,Charlotte Perkins Gilman,1892
87,Things Fall Apart,Chinua Achebe,1958
88,To Kill a Mockingbird,Harper Lee,1960
89,Ulysses,James Joyce,1922
90,War and Peace,Leo Tolstoy,1869
91,Watership Down,Richard Adams,1972
92,Wuthering Heights,Emily Bront�,1847
93,2001: A Space Odyssey,Arthur C. Clarke,1968
94,A Christmas Carol,Charles Dickens,1843
95,A Clockwork Orange,Anthony Burgess,1962
96,A Confederacy of Dunces,John Kennedy Toole,1980
97,A Midsummer Night's Dream,William Shakespeare,1595
